boro_central_library	circulation_young_adult	young_adult_program	_reference_transactions_young_adult	juvenile_program	circulation_adult	_reference_transactions_juvenile	branch	network	_total_program	_reference_transactions_adult	_total_attendance	adult_program	outreach_services_program	young_adult_attendance	_reference_transactions	circulation_juvenile	circulation	weekly_hours_of_public_service	adult_attendance	juvenile_attendance	outreach_services_attendance
Manhattan	20149	80	3497	253	173087	5343	67th Street	Countee Cullen Network	550	66209	12020	146	71	884	75049	112878	306114	42	1298	9004	834
Manhattan	39402	90	19591	276	228111	9503	96th Street	Countee Cullen Network	548	71448	13352	154	28	1710	100542	105718	373231	50	2466	8470	706
Manhattan	16783	75	3471	142	77833	6903	115th Street	Countee Cullen Network	282	14924	7623	53	12	1036	25298	65517	160133	42	497	5382	708
Manhattan	14352	46	8632	142	45516	11479	125th Street	Countee Cullen Network	371	23400	3679	116	67	345	43511	20366	80234	42	1008	1311	1015
Manhattan	26945	28	9711	364	92228	21281	Aguilar	Countee Cullen Network	668	34502	12460	29	247	450	65494	89477	208650	44	524	8143	3343
Manhattan	30858	105	7527	340	236267	6019	Bloomingdale	Countee Cullen Network	573	36608	13439	107	21	1245	50154	133536	400661	44	1241	10626	327
Manhattan	21545	159	18941	254	118246	13182	Countee Cullen	Countee Cullen Network	632	52780	8616	199	20	1676	84903	59759	199550	54	2330	4053	557
Manhattan	37962	124	9113	336	170872	13767	Fort Washington	Countee Cullen Network	715	29211	14832	97	158	1544	52091	110765	319599	44	1387	8990	2911
Manhattan	14443	94	256360	208	67313	282750	George Bruce	Countee Cullen Network	425	327119	6930	81	42	1432	866229	38463	120219	42	833	3607	1058
Manhattan	25338	94	30212	115	110572	35412	Hamilton Grange	Countee Cullen Network	384	77246	7950	137	38	1138	142870	73395	209305	44	2779	3037	996
Manhattan	10710	37	6357	228	58898	17472	Harlem	Countee Cullen Network	477	37596	8823	170	42	266	61425	35936	105544	42	2667	4979	911
Manhattan	27844	129	8333	255	165179	13858	Inwood	Countee Cullen Network	612	21164	14987	75	153	2691	43355	114618	307641	44	935	7015	4346
Manhattan	6743	30	4875	118	18657	4355	Macomb's Bridge	Countee Cullen Network	167	9659	2128	13	6	318	18889	12021	37421	42	25	1721	64
Manhattan	34916	188	9841	246	286668	8034	Morningside Heights	Countee Cullen Network	564	48776	10625	100	30	2995	66651	120204	441788	50	968	5623	1039
Manhattan	31002	74	5694	228	250528	3978	Riverside	Countee Cullen Network	531	47944	11878	116	113	1096	57616	121739	403269	46	1873	6555	2354
Manhattan	30736	10	4745	241	251584	7020	St. Agnes	Countee Cullen Network	418	37739	13287	118	49	663	49504	176853	459173	43	2966	8249	1409
Manhattan	165	0	0	0	830	0	Washington Heights*   * Closed for major renovation - effective 4/15/10	Countee Cullen Network	2	0	50	0	2	0	0	520	1515	0	0	0	50
Manhattan	14765	58	5291	211	152390	4134	Webster	Countee Cullen Network	376	66976	11271	80	27	426	76401	86007	253162	42	1211	8614	1020
Manhattan	16372	28	6214	205	182624	11206	Yorkville	Countee Cullen Network	297	123500	7807	39	25	102	140920	74566	273562	44	621	5767	1317
Manhattan	421030	1449	418405	4162	2687403	475696	Subtotal:	Countee Cullen Network	8592	1126801	181757	1830	1151	20017	2020902	1552338	4660771	801	25629	111146	24965
Manhattan							Seward Park Network	Seward Park Network													
Manhattan	33683	0	0	3	340058	0	58th Street	Seward Park Network	369	90649	6958	348	18	0	90649	36775	410516	46	6095	120	743
Manhattan	28170	133	3302	278	162657	10595	Battery Park City	Seward Park Network	510	34749	10103	87	12	1397	48646	108737	299564	46	511	7787	408
Manhattan	82349	53	10504	366	280124	24063	Chatham Square	Seward Park Network	546	31122	12322	70	57	478	65689	209667	572140	50	1176	8717	1951
Manhattan	21736	16	21697	119	145599	30706	Columbus	Seward Park Network	201	70733	4456	46	20	471	123136	52125	219460	42	724	2355	906
Manhattan	14699	5	26	14	115953	0	Cooke-Cathedral	Seward Park Network	63	9230	955	27	17	15	9256	16691	147343	39	312	141	487
Manhattan	27269	5	7774	178	230928	12688	Epiphany	Seward Park Network	281	49868	8067	83	15	44	70330	67330	325527	44	1198	6532	293
Manhattan	44891	200	2782	19	251736	78	Grand Central	Seward Park Network	285	19383	3459	56	10	2614	22243	40587	337214	44	584	228	33
Manhattan	25640	26	6448	382	79132	7111	Hamilton Fish Park	Seward Park Network	701	24219	10267	142	151	224	37778	60010	164782	44	1472	5732	2839
Manhattan	10853	154	1911	166	112121	6942	Hudson Park	Seward Park Network	627	41314	11671	130	177	820	50167	27569	150543	42	1424	6877	2550
Manhattan	24474	38	1170	194	257047	20332	Jefferson Market	Seward Park Network	321	151879	11579	77	12	977	173381	84347	365868	48	2432	7812	358
Manhattan	13994	79	2067	480	135807	4004	Kips Bay	Seward Park Network	863	33579	12932	284	20	530	39650	57821	207622	42	2098	8633	1671
Manhattan	29360	119	8645	273	232290	10205	Muhlenberg	Seward Park Network	665	32903	13452	103	170	1070	51753	70849	332499	42	1781	7469	3132
Manhattan	34573	185	5902	199	201905	6474	Mulberry Street	Seward Park Network	469	34554	9574	56	29	3284	46930	98989	335467	44	530	5647	113
Manhattan	43961	30	1534	183	322828	2366	New Amsterdam	Seward Park Network	236	37908	3066	13	10	128	41808	81507	448296	46	283	2412	243
Manhattan	15903	69	3861	422	173164	3887	Ottendorfer	Seward Park Network	701	25584	17285	180	30	530	33332	42107	231174	42	1139	15140	476
Manhattan	8938	223	11726	209	61941	11102	Roosevelt Island	Seward Park Network	560	25168	7975	97	31	2108	47996	46814	117693	50	751	3897	1219
Manhattan	82085	207	38454	598	231221	68172	Seward Park	Seward Park Network	978	102427	20368	35	138	2929	209053	200169	513475	50	445	14941	2053
Manhattan	19902	30	10465	296	143693	17056	Tompkins Square	Seward Park Network	468	50908	7824	89	53	358	78429	45790	209385	42	1496	5101	869
Manhattan	562480	1572	138268	4379	3478204	235781	Subtotal:	Seward Park Network	8844	866177	172313	1923	970	17977	1240226	1347884	5388568	803	24451	109541	20344
Manhattan	0	0	0	0	0	0	Manhattan Borough Office	Special Unit	0	0	0	0	0	0	0	0	0	0	0	0	0
Manhattan	0	0	0	0	0	0	Subtotal:	Special Unit	0	0	0	0	0	0	0	0	0	0	0	0	0
Manhattan	983510	3021	556673	8541	6165607	711477	MANHATTAN TOTAL:		17436	1992978	354070	3753	2121	37994	3261128	2900222	10049339	1604	50080	220687	45309
