level_4_2	level_1_1	year	level_1_2	level_2_1	level_2_2	level_3_1	level_3_2	level_4_1	level_3_4_2	number_tested	mean_scale_score	level_3_4_1	district	grade	category
5.2	89	2006	11.0	215	26.6	462	57.2	42	62.4	808	663	504	1	3	All Students
4.8	103	2006	12.6	272	33.2	405	49.5	39	54.2	819	654	444	1	4	All Students
7.3	68	2006	9.1	286	38.1	342	45.5	55	52.9	751	651	397	1	5	All Students
10.3	58	2006	6.8	346	40.5	363	42.5	88	52.7	855	653	451	1	6	All Students
7.4	85	2006	9.2	425	46.2	341	37.1	68	44.5	919	646	409	1	7	All Students
3.4	91	2006	11.0	447	53.9	263	31.7	28	35.1	829	641	291	1	8	All Students
6.4	494	2006	9.9	1991	40.0	2176	43.7	320	50.1	4981	651	2496	1	All Grades	All Students
12.2	83	2006	4.0	275	13.3	1464	70.6	252	82.7	2074	684	1716	2	3	All Students
10.5	104	2006	4.9	341	15.9	1473	68.7	226	79.2	2144	675	1699	2	4	All Students
23.4	69	2006	3.2	379	17.4	1218	56.0	510	79.4	2176	678	1728	2	5	All Students
15.8	76	2006	3.6	529	25.1	1169	55.5	332	71.3	2106	666	1501	2	6	All Students
12.5	91	2006	4.3	558	26.6	1188	56.6	262	69.1	2099	664	1450	2	7	All Students
9.5	114	2006	5.0	754	33.1	1196	52.5	216	61.9	2280	664	1412	2	8	All Students
14.0	537	2006	4.2	2836	22.0	7708	59.8	1798	73.8	12879	672	9506	2	All Grades	All Students
5.1	155	2006	11.9	357	27.4	724	55.6	66	60.7	1302	661	790	3	3	All Students
7.8	137	2006	10.2	393	29.2	711	52.8	105	60.6	1346	661	816	3	4	All Students
13.6	121	2006	8.6	495	35.1	602	42.7	192	56.3	1410	658	794	3	5	All Students
10.8	124	2006	8.4	618	42.0	572	38.8	159	49.6	1473	651	731	3	6	All Students
10.6	153	2006	10.3	634	42.7	541	36.4	158	47.0	1486	649	699	3	7	All Students
5.6	175	2006	11.3	751	48.5	537	34.6	87	40.3	1550	645	624	3	8	All Students
9.0	865	2006	10.1	3248	37.9	3687	43.0	767	52.0	8567	654	4454	3	All Grades	All Students
3.3	145	2006	13.7	294	27.7	588	55.4	35	58.7	1062	656	623	4	3	All Students
2.5	188	2006	15.9	438	37.1	525	44.5	29	46.9	1180	646	554	4	4	All Students
6.8	119	2006	9.9	470	39.2	527	44.0	82	50.8	1198	649	609	4	5	All Students
4.0	124	2006	8.8	676	48.0	552	39.2	57	43.2	1409	642	609	4	6	All Students
1.2	183	2006	13.3	759	55.2	416	30.3	16	31.4	1374	632	432	4	7	All Students
0.5	267	2006	19.7	777	57.3	306	22.5	7	23.1	1357	626	313	4	8	All Students
3.0	1026	2006	13.5	3414	45.0	2914	38.4	226	41.4	7580	641	3140	4	All Grades	All Students
1.0	202	2006	20.5	418	42.4	355	36.0	10	37.1	985	641	365	5	3	All Students
0.7	146	2006	14.7	417	42.0	423	42.6	7	43.3	993	643	430	5	4	All Students
1.1	132	2006	12.6	554	52.8	352	33.5	12	34.7	1050	636	364	5	5	All Students
1.6	159	2006	13.0	638	52.1	407	33.3	20	34.9	1224	633	427	5	6	All Students
1.0	245	2006	18.2	752	55.7	338	25.1	14	26.1	1349	626	352	5	7	All Students
0.4	248	2006	19.4	744	58.1	283	22.1	5	22.5	1280	626	288	5	8	All Students
1.0	1132	2006	16.5	3523	51.2	2158	31.4	68	32.3	6881	633	2226	5	All Grades	All Students
1.7	192	2006	13.2	484	33.4	751	51.8	24	53.4	1451	652	775	6	3	All Students
2.0	292	2006	16.4	687	38.6	763	42.9	36	44.9	1778	644	799	6	4	All Students
4.1	271	2006	12.2	973	43.9	883	39.8	91	43.9	2218	642	974	6	5	All Students
2.7	322	2006	14.6	1144	51.7	685	31.0	60	33.7	2211	634	745	6	6	All Students
1.2	361	2006	15.4	1235	52.8	716	30.6	28	31.8	2340	630	744	6	7	All Students
1.1	419	2006	18.0	1288	55.5	590	25.4	25	26.5	2322	630	615	6	8	All Students
2.1	1857	2006	15.1	5811	47.2	4388	35.6	264	37.8	12320	638	4652	6	All Grades	All Students
0.9	248	2006	21.1	455	38.7	463	39.4	10	40.2	1176	641	473	7	3	All Students
1.3	289	2006	23.7	497	40.8	417	34.2	16	35.5	1219	635	433	7	4	All Students
1.2	253	2006	17.1	744	50.4	461	31.2	18	32.5	1476	632	479	7	5	All Students
1.1	287	2006	19.3	865	58.1	319	21.4	17	22.6	1488	624	336	7	6	All Students
0.6	344	2006	22.3	874	56.5	318	20.6	10	21.2	1546	620	328	7	7	All Students
0.6	363	2006	25.1	850	58.7	226	15.6	9	16.2	1448	620	235	7	8	All Students
1.0	1784	2006	21.4	4285	51.3	2204	26.4	80	27.3	8353	628	2284	7	All Grades	All Students
2.3	319	2006	15.2	673	32.2	1052	50.3	48	52.6	2092	651	1100	8	3	All Students
2.4	307	2006	15.1	675	33.2	1002	49.3	48	51.7	2032	649	1050	8	4	All Students
