level_4_2	level_1_1	year	level_1_2	level_2_1	level_2_2	level_3_1	level_3_2	level_4_1	level_3_4_2	number_tested	mean_scale_score	level_3_4_1	district	grade	category
22.3	73	2006	7.8	170	18.2	484	51.7	209	74.0	936	673	693	1	3	All Students
22.8	48	2007	5.7	86	10.3	511	61.1	191	84.0	836	679	702	1	3	All Students
24.8	17	2008	2.0	94	10.9	537	62.3	214	87.1	862	686	751	1	3	All Students
26.5	8	2009	0.9	66	7.2	598	65.4	242	91.9	914	691	840	1	3	All Students
27.8	89	2010	10.3	257	29.7	279	32.2	241	60.0	866	697	520	1	3	All Students
22.0	78	2011	9.4	247	29.9	319	38.6	182	60.7	826	689	501	1	3	All Students
22.9	80	2006	8.9	188	21.0	422	47.2	205	70.1	895	670	627	1	4	All Students
22.2	68	2007	7.8	167	19.2	440	50.7	193	72.9	868	673	633	1	4	All Students
23.7	44	2008	5.2	149	17.6	454	53.5	201	77.2	848	677	655	1	4	All Students
34.0	55	2009	6.5	90	10.6	413	48.8	288	82.9	846	685	701	1	4	All Students
26.9	59	2010	6.5	289	31.9	314	34.7	244	61.6	906	687	558	1	4	All Students
32.0	54	2011	6.2	238	27.5	296	34.2	277	66.2	865	690	573	1	4	All Students
13.5	110	2006	13.8	233	29.2	347	43.5	108	57.0	798	657	455	1	5	All Students
19.4	67	2007	7.7	195	22.4	439	50.5	169	69.9	870	668	608	1	5	All Students
23.5	40	2008	4.7	126	14.7	489	57.1	201	80.6	856	677	690	1	5	All Students
33.0	13	2009	1.6	100	12.3	430	53.0	268	86.1	811	685	698	1	5	All Students
25.4	69	2010	8.6	264	32.7	269	33.3	205	58.7	807	681	474	1	5	All Students
28.1	65	2011	7.4	246	28.1	318	36.3	246	64.5	875	687	564	1	5	All Students
17.1	116	2006	12.7	248	27.2	392	43.0	156	60.1	912	659	548	1	6	All Students
20.8	88	2007	11.1	176	22.1	366	46.0	165	66.8	795	667	531	1	6	All Students
28.1	79	2008	9.1	169	19.4	377	43.4	244	71.5	869	672	621	1	6	All Students
31.5	41	2009	4.6	148	16.5	424	47.4	282	78.9	895	682	706	1	6	All Students
31.3	74	2010	9.2	265	33.1	211	26.3	251	57.7	801	685	462	1	6	All Students
31.8	80	2011	9.7	245	29.6	240	29.0	263	60.7	828	685	503	1	6	All Students
13.3	153	2006	15.8	359	37.1	326	33.7	129	47.1	967	648	455	1	7	All Students
16.8	69	2007	7.5	337	36.9	354	38.7	154	55.6	914	658	508	1	7	All Students
25.2	32	2008	3.8	167	19.7	435	51.3	214	76.5	848	672	649	1	7	All Students
30.1	20	2009	2.3	139	16.1	443	51.5	259	81.5	861	680	702	1	7	All Students
33.6	90	2010	10.2	259	29.4	235	26.7	296	60.3	880	681	531	1	7	All Students
38.0	63	2011	8.1	205	26.5	212	27.4	294	65.4	774	684	506	1	7	All Students
8.5	178	2006	20.2	349	39.6	279	31.7	75	40.2	881	644	354	1	8	All Students
13.3	172	2007	18.6	291	31.5	339	36.6	123	49.9	925	652	462	1	8	All Students
17.6	67	2008	7.4	279	30.9	398	44.1	159	61.7	903	664	557	1	8	All Students
18.5	50	2009	5.8	180	21.0	468	54.7	158	73.1	856	669	626	1	8	All Students
19.8	146	2010	16.1	344	37.9	237	26.1	180	46.0	907	672	417	1	8	All Students
