year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2006	BRONX	345	147	ELL	766	273	19.3	618	1	0.1	19.2	35.6	3	45	148
2006	BRONX	1809	6200	EP	12530	4184	52.2	652	337	2.7	49.5	33.4	3	14.4	6537
2007	BRONX	1004	693	ELL	3143	1441	22.2	626	5	0.2	22	45.8	3	31.9	698
2007	BRONX	1930	5948	EP	12728	4423	50.1	649	427	3.4	46.7	34.8	3	15.2	6375
2008	BRONX	764	728	ELL	3092	1574	24.4	631	26	0.8	23.5	50.9	3	24.7	754
2008	BRONX	1258	6147	EP	12288	4288	54.9	654	595	4.8	50	34.9	3	10.2	6742
2009	BRONX	596	1208	ELL	3136	1307	39.3	639	25	0.8	38.5	41.7	3	19	1233
2009	BRONX	854	7450	EP	12395	3530	64.6	659	561	4.5	60.1	28.5	3	6.9	8011
2010	BRONX	1374	564	ELL	3346	1333	19.1	646	75	2.2	16.9	39.8	3	41.1	639
2010	BRONX	2471	3767	EP	12108	4747	40.4	659	1123	9.3	31.1	39.2	3	20.4	4890
2011	BRONX	1274	516	ELL	3152	1353	16.7	644	9	0.3	16.4	42.9	3	40.4	525
2011	BRONX	2246	4726	EP	12282	5115	40.1	657	195	1.6	38.5	41.6	3	18.3	4921
2012	BRONX	1366	425	ELL	3002	1205	14.4	643	6	0.2	14.2	40.1	3	45.5	431
2012	BRONX	2468	4713	EP	12599	5110	39.9	657	308	2.4	37.4	40.6	3	19.6	5021
2006	BRONX	425	152	ELL	959	380	16.1	613	2	0.2	15.8	39.6	4	44.3	154
2006	BRONX	1757	6072	EP	12696	4474	50.9	650	393	3.1	47.8	35.2	4	13.8	6465
2007	BRONX	905	575	ELL	2780	1298	20.8	622	2	0.1	20.7	46.7	4	32.6	577
2007	BRONX	1566	6195	EP	12995	4868	50.5	649	366	2.8	47.7	37.5	4	12.1	6561
2008	BRONX	868	717	ELL	2989	1400	24.1	624	4	0.1	24	46.8	4	29	721
2008	BRONX	1504	6507	EP	12445	4067	55.2	650	367	2.9	52.3	32.7	4	12.1	6874
2009	BRONX	474	1000	ELL	2832	1356	35.4	635	2	0.1	35.3	47.9	4	16.7	1002
2009	BRONX	810	7780	EP	12405	3489	65.3	658	326	2.6	62.7	28.1	4	6.5	8106
2010	BRONX	908	459	ELL	3005	1632	15.5	645	6	0.2	15.3	54.3	4	30.2	465
2010	BRONX	1655	4477	EP	12572	6191	37.6	661	249	2	35.6	49.2	4	13.2	4726
2011	BRONX	935	508	ELL	3131	1685	16.3	644	3	0.1	16.2	53.8	4	29.9	511
2011	BRONX	1330	5380	EP	12421	5610	44.1	664	101	0.8	43.3	45.2	4	10.7	5481
2012	BRONX	1023	403	ELL	2963	1537	13.6	642	0	0	13.6	51.9	4	34.5	403
2012	BRONX	1334	5231	EP	12051	5293	45	666	193	1.6	43.4	43.9	4	11.1	5424
2006	BRONX	566	202	ELL	1525	755	13.4	611	2	0.1	13.2	49.5	5	37.1	204
2006	BRONX	1261	5892	EP	13426	5747	47.8	646	526	3.9	43.9	42.8	5	9.4	6418
