queens_condominium_property_total_units	comparable_rental_2_address/latitude	comparable_rental_2_address/human_address/address	comparable_rental_2_address/human_address/city	comparable_rental_2_address/human_address/state	comparable_rental_2_address/longitude	comparable_rental_1_neighborhood	queens_condominium_property_full_market_value	queens_condominium_property_building_classification	comparable_rental_2_gross_sqft	comparable_rental_2_building_classification	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	queens_condominium_property_gross_income_per_sqft	comparable_rental_1_building_classification	queens_condominium_property_neighborhood	comparable_rental_1_address/latitude	comparable_rental_1_address/human_address/address	comparable_rental_1_address/human_address/city	comparable_rental_1_address/human_address/state	comparable_rental_1_address/longitude	comparable_rental_2_neighborhood	queens_condominium_property_condo_section	queens_condominium_property_boro_block_lot	queens_condominium_property_year_built	comparable_rental_2_dist_from_coop_in_miles	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	queens_condominium_property_address/latitude	queens_condominium_property_address/human_address/address	queens_condominium_property_address/human_address/city	queens_condominium_property_address/human_address/state	queens_condominium_property_address/longitude	comparable_rental_2_year_built	queens_condominium_property_est_gross_income	queens_condominium_property_gross_sqft	comparable_rental_1_est_gross_income	queens_condominium_property_market_value_per_sqft	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
47	40.749436300045204	35 02 35 STREET	Queens	New York	-73.79729979984586	LONG ISLAND CITY	9140004	R2-WALK-UP	43300	C7-WALK-UP	16.87	2800000	4-00638-0025	1.5	12.21	30	D7-ELEVATOR	LONG ISLAND CITY	40.749436300045204	36 06 30 STREET	Queens	New York	-73.79729979984586	LONG ISLAND CITY	478-R1	4-00031-7501	2005	1.7	730295	66	45.9	61	2970000	40.749436300045204	5 15 49 AVENUE	Queens	New York	-73.79729979984586	1926	1885980	62866	745000	145	4-00342-0024	61000	69	1929
13	40.749436300045204	14 56 31 DRIVE	Queens	New York	-73.79729979984586	ASTORIA	1699509	R4-ELEVATOR	61700	D6-ELEVATOR	20.62	3470000	4-00531-0059	2	18.41	20.62	D1-ELEVATOR	LONG ISLAND CITY	40.749436300045204	31 64 21 STREET	Queens	New York	-73.79729979984586	ASTORIA	487-R1	4-00032-7501	2006	2	1272343	52	75	63	5690000	40.749436300045204	5 03 50 AVENUE	Queens	New York	-73.79729979984586	2001	378900	18375	852831	92	4-00531-0060	46333	92	2002
15	40.749436300045204	45 55 41 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	878994	R4-ELEVATOR	16840	C1-WALK-UP	13.6	549000	4-00192-0007	0.55	9.9	14.2	C1-WALK-UP	SUNNYSIDE	40.749436300045204	48 11 45 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	498-R1	4-00134-7501	2005	0.45	229061	23	33.5	24	908000	40.749436300045204	49 07 43 AVENUE	Queens	New York	-73.79729979984586	1931	221662	15610	162364	56	4-02289-0020	16400	54	1928
52	40.749436300045204	41 22 42 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	1990002	R4-ELEVATOR	61770	D1-ELEVATOR	12.56	2190000	4-00184-0029	0.05	10.05	10.7	D1-ELEVATOR	SUNNYSIDE	40.749436300045204	41 08 42 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	93-R1	4-00159-7501	1936	0.05	775703	60	34	60	2920000	40.749436300045204	41 21 42 STREET	Queens	New York	-73.79729979984586	1937	588350	54986	647986	36.2	4-00184-0023	64505	47.3	1937
60						SUNNYSIDE	2089999	R4-ELEVATOR				3970000		0.1	15.91	10.5	D1-ELEVATOR	SUNNYSIDE	40.749436300045204	43 23 42 STREET	Queens	New York	-73.79729979984586		92-R1	4-00159-7502	1936			60	65			40.749436300045204	41 07 42 STREET	Queens	New York	-73.79729979984586		618723	58926	975601	35.5	4-00163-0014	61320		1942
93	40.749436300045204	43 09 40 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	3269994	R4-ELEVATOR	66714	D1-ELEVATOR	13.7	2920000	4-00189-0019	0.25	12.56	12.55	D1-ELEVATOR	SUNNYSIDE	40.749436300045204	41 22 42 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	308-R1	4-00160-7501	1930	0.25	913858	60	47.3	77	3440000	40.749436300045204	43 30 BEACH 46 STREET	Queens	New York	-73.79729979984586	1932	870179	69337	775703	47.2	4-00184-0029	61770	52	1937
64	40.749436300045204	43 09 40 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	3030005	R4-ELEVATOR	66714	D1-ELEVATOR	13.7	2250000	4-00189-0019	0.4	13.02	13.45	D7-ELEVATOR	SUNNYSIDE	40.749436300045204	41 46 43 AVENUE	Queens	New York	-73.79729979984586	SUNNYSIDE	167-R1	4-00184-7501	1938	0.1	913858	62	49	77	3440000	40.749436300045204	41 09 41 STREET	Queens	New York	-73.79729979984586	1932	805924	59920	597626	51	4-00134-0001	45900	52	1932
30	40.749436300045204	68 12 AUSTIN STREET	Queens	New York	-73.79729979984586	FOREST HILLS	2830001	R4-ELEVATOR	16949	D7-ELEVATOR	19.11	1230000	4-03166-0067	4.5	16.13	22.9	D7-ELEVATOR	SUNNYSIDE	40.749436300045204	109 19 72 AVENUE	Queens	New York	-73.79729979984586	REGO PARK	286-R1	4-00196-7501	1988	3.85	323846	18	66	17	1450000	40.749436300045204	47 35 41 STREET	Queens	New York	-73.79729979984586	1998	632864	27636	301631	102	4-02225-0030	18700	86	1986
47	40.749436300045204	47 46 40 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	2070003	R4-ELEVATOR	50400	D1-ELEVATOR	11.83	2150000	4-00199-0052	0.15	13.14	13.1	D1-ELEVATOR	SUNNYSIDE	40.749436300045204	45 54 41 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	97-R1	4-00199-7501	1939	0	596316	49	49.3	55	2100000	40.749436300045204	47 55 39 PLACE	Queens	New York	-73.79729979984586	1939	550200	42000	573062	49.3	4-00193-0055	43600	41.7	1936
35	40.749436300045204	29 02 29 STREET	Queens	New York	-73.79729979984586	LONG ISLAND CITY	16660	R4-ELEVATOR	70000	D7-ELEVATOR	13.83	2460000	4-00342-0018	0.5	9.48	0	D1-ELEVATOR	LONG ISLAND CITY	40.749436300045204	28 20 36 AVENUE	Queens	New York	-73.79729979984586	LONG ISLAND CITY	475-R2	4-00415-7501	0	0.55	967959	72	31.3	77	3840000	40.749436300045204	41 26 27 STREET	Queens	New York	-73.79729979984586	1929	0	785	745344	21.22	4-00343-0024	78660	55	1929
25	40.749436300045204	14 56 31 DRIVE	Queens	New York	-73.79729979984586	ASTORIA	3729984	R4-ELEVATOR	61700	D6-ELEVATOR	20.62	3470000	4-00531-0059	1.3	18.41	20.62	D1-ELEVATOR	LONG ISLAND CITY	40.749436300045204	31 64 21 STREET	Queens	New York	-73.79729979984586	ASTORIA	513-R1	4-00432-7501	2007	1.3	1272343	52	75	63	5690000	40.749436300045204	42 51 HUNTER STREET	Queens	New York	-73.79729979984586	2001	835710	40529	852831	92	4-00531-0060	46333	92	2002
73	40.749436300045204	34 50 41 STREET	Queens	New York	-73.79729979984586	ASTORIA	4500006	R4-ELEVATOR	72625	C7-WALK-UP	12.82	3750000	4-00673-0042	0.55	18.44	15.45	D1-ELEVATOR	ASTORIA	40.749436300045204	25 63 22 STREET	Queens	New York	-73.79729979984586	ASTORIA	466-R1	4-00504-7501	2006	1.15	931135	73	52	79	3500000	40.749436300045204	30 85 VERNON BOULEVARD	Queens	New York	-73.79729979984586	1918	1106050	71589	1327680	63	4-00884-0012	72000	48.2	1991
57	40.749436300045204	31 18 35 STREET	Queens	New York	-73.79729979984586	ASTORIA	1300005	R4-ELEVATOR	21500	C1-WALK-UP	13.07	1500000	4-00624-0050	0.75	17.18	14.2	C1-WALK-UP	ASTORIA	40.749436300045204	31 14 35 STREET	Queens	New York	-73.79729979984586	ASTORIA	448-R1	4-00539-7501	2006	0.75	280949	35	70	35	1060000	40.749436300045204	14 43 28 AVENUE	Queens	New York	-73.79729979984586	1923	326714	23008	369330	57	4-00624-0046	21500	49.3	1923
85	40.749436300045204	23 30 NEWTOWN AVENUE	Queens	New York	-73.79729979984586	ASTORIA	4359997	R4-ELEVATOR	57000	D7-ELEVATOR	14.51	3920000	4-00544-0019	0.1	17.42	17.4	D1-ELEVATOR	ASTORIA	40.749436300045204	30 60 29 STREET	Queens	New York	-73.79729979984586	ASTORIA	198-R1	4-00571-7501	1932	0.25	827299	76	71	78	3280000	40.749436300045204	23 22 30 ROAD	Queens	New York	-73.79729979984586	1928	1071840	61600	964399	71	4-00577-0056	55375	58	1929
